Institutes,Country,Type,Name,Platform,Phase,Date started,Reference,"Listed by WHO, 05 Oct 2020","Listed by Milken, 05 Oct 2020",Other
United Biomedical/c19,Taiwan/USA,Commercial,Unnamed vaccine,Unknown,Pre-clinical,19-03-20,http://www.unitedbiomedical.com/COVID-19/covid-19.html,no,yes,NA
Vault Pharma/University of California Los Angeles,USA,Commercial/Academic,Unnamed vaccine,Unknown,Pre-clinical,01-06-20,https://www.businesswire.com/news/home/20200601005170/en/Coronavirus-Vaccine-Development-Underway-Vault-Pharma,no,yes,Nanoparticles (vaults) as second-line defense of infection
Verndari Inc/UC Davis,USA,Commercial/Academic,Unnamed vaccine,Unknown,Pre-clinical,29-04-20,https://www.verndariinc.com/news/4,no,yes,VaxiPatch single-dose dermal patch with a metal microneedle array
Vir Biotechnology/GSK,USA/UK,Commercial,Unnamed vaccine,Unknown,Pre-clinical,06-04-20,https://investors.vir.bio/news-releases/news-release-details/gsk-and-vir-biotechnology-enter-collaboration-find-coronavirus,no,yes,NA
Vivaldi Biosciences/Esco Aster,USA/Singapore,Commercial,Unnamed vaccine,Unknown,Pre-clinical,14-05-20,https://www.vivaldibiosciences.com/news-2/e4punpyr485q117deum1k1xrps4wjt,no,yes,Chimeric vaccine (coronavirus and influenza)
ZhongKe Biopharm ,China,Commercial,Unnamed vaccine,Unknown,Pre-clinical,17-04-20,https://www.biocentury.com/article/304515,no,no,NA
Zhongyi Anke Biotechnology ,China,Commercial,Unnamed vaccine,Unknown,Pre-clinical,17-04-20,https://www.biocentury.com/article/304515,no,no,NA
ARTES Biotechnology,Germany,Commercial,VLP vaccine,Virus-like particle,Pre-clinical,27-04-20,http://artes-biotechnology.biz/artes-joins-global-combat-against-corona/,yes,yes,NA
Bezmialem Vakif University,Turkey,Academic,VLP vaccine,Virus-like particle,Pre-clinical,21-07-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Doherty Institute,Australia,Academic,VLP vaccine,Virus-like particle,Pre-clinical,28-01-20,https://www.doherty.edu.au/our-work/institute-themes/viral-infectious-diseases/emerging-infections/2019-novel-coronavirus/about-2019-novel-coronavirus,yes,yes,NA
Imophoron Ltd/Bristol University,UK,Commercial/Academic,ADDomer VLP vaccine,Virus-like particle,Pre-clinical,08-03-20,https://www.pharmaceutical-technology.com/news/bristol-university-imophoron-covid-vaccine/,yes,yes,ADDomer multiepitope display
IrsiCaixa AIDS Research/IRTA-CReSA/Barcelona Supercomputing Centre/Grifols,Spain,Commercial,VLP vaccine,Virus-like particle,Pre-clinical,28-06-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,S protein integrated in HIV VLPs
Mahidol University/GPO,Thailand,Academic,VLP vaccine,Virus-like particle,Pre-clinical,01-06-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Max Planck Institute,Germany,Academic,VLP vaccine,Virus-like particle,Pre-clinical,25-07-20,https://www.who.int/publications/m/item/draft-landscape-of-covid-19-candidate-vaccines,yes,no,NA
Medicago Inc/GSK/Dynavax,Canada/USA/UK,Commercial,Plant-derived VLP vaccine,Virus-like particle,Phase I,12-03-20,https://www.biospace.com/article/releases/medicago-announces-production-of-a-viable-vaccine-candidate-for-covid-19/,yes,yes,VLP (CoVLP) adjuvanted with GSK or Dynavax adjuvants
Middle East Technical University,Turkey,Academic,VLP vaccine,Virus-like particle,Pre-clinical,01-07-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Navarrabiomed Oncoimmunology group,Spain,Commercial,VLP vaccine,Virus-like particle,Pre-clinical,01-06-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Lentivirus and baculovirus vehicles 
OSIVAX,France,Commercial,VLP vaccine,Virus-like particle,Pre-clinical,05-05-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,VLP (COVID-19 and SARS1)
Saiba GmbH,Switzerland,Commercial,VLP vaccine,Virus-like particle,Pre-clinical,11-04-20,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_11April2020.PDF?ua=1,yes,yes,RBD displayed on VLPs
SpyBiotech/Serum Institute of India,UK/India,Commercial,RBD-HBsAg VLP vaccine,Virus-like particle,Phase I/II,05-06-20,https://www.gov.uk/government/news/india-joins-uks-global-vaccine-mission,yes,yes,SpyCatcher/SpyTag display technology
University of Sao Paulo,Brazil,Academic,VLP vaccine,Virus-like particle,Pre-clinical,18-03-20,https://www.efe.com/efe/english/portada/brazil-scientists-using-new-approach-in-search-for-covid-19-vaccine/50000260-4199376,yes,yes,NA
VBI Vaccines/National Research Council of Canada,USA,Commercial/Academic,VLP vaccine,Virus-like particle,Pre-clinical,31-03-20,https://www.businesswire.com/news/home/20200331005198/en/VBI-Vaccines-Announces-Collaboration-National-Research-Council,yes,yes,"Enveloped VLP pan-coronavirus vaccine candidate, targeting COVID-19, SARS, and MERS S proteins"
